candidate_id,rationale,relation,canonical_id,source_name,source_topic_ranks
C001,C001 is the canonical name for ANC.,alias_of,laboratory_vitals__absolute_neutrophil_count,Absolute Neutrophil Count,"33,96"
C002,Both refer to adjuvant history.,alias_of,systemic_treatments_medications__adjuvant_treatment_history,Adjuvant treatment history,"52,94"
C003,Both refer to adjuvant history.,alias_of,systemic_treatments_medications__adjuvant_treatment_history,Adjuvant treatment setting,"32,99"
C004,Alias for adrenal gland metastasis.,alias_of,imaging_disease_sites__adrenal_gland_metastasis,Adrenal gland metastasis,31
C005,Alias for adrenal gland metastasis.,alias_of,imaging_disease_sites__adrenal_gland_metastasis,Adrenal metastasis presence,69
C006,Age is a standard demographic variable.,alias_of,demographics_social__age,Age,"16,29,48,71,76,77,80"
C007,Directly maps to alcohol intake frequency.,base_variable,demographics_social__alcohol_intake_frequency,Alcohol intake frequency,"37,98"
C008,Direct mapping to ALK status.,base_variable,molecular_biomarkers__alk_mutation_status,ALK mutation status,41
C009,Alias for ambulation status.,alias_of,functional_performance__ambulation_status,Ambulation Ability,23
C010,Alias for ambulation status.,alias_of,functional_performance__ambulation_status,Ambulatory capacity,56
C011,Refers to lung/nodule location.,alias_of,imaging_disease_sites__lung_nodule_location,Anatomical location,7
C012,Alias for brain metastasis location.,alias_of,imaging_disease_sites__brain_metastasis_location,Anatomical location of brain metastases,"27,74"
C013,Alias for brain metastasis location.,alias_of,imaging_disease_sites__brain_metastasis_location,Anatomical site of brain metastasis,85
C014,Direct extraction of anemia status.,base_variable,laboratory_vitals__anemia_status,Anemia status,79
C015,Anxiety severity is a more specific version of anxiety status.,alias_of,symptoms_patient_reported__anxiety_severity,Anxiety severity,3
C016,Anxiety status is the base concept.,base_variable,symptoms_patient_reported__anxiety_severity,Anxiety status,"1,9"
C017,"ADC is a measurement related to FDG/SUV context, but here treated as a separate continuous value if needed; however, SUVmax is the primary quantitative feature.",alias_of,imaging_disease_sites__suvmax,Apparent Diffusion Coefficient (ADC) value,43
C018,Direct symptom.,base_variable,symptoms_patient_reported__appetite_loss,Appetite loss,25
C019,AST is an alias for Aspartate Aminotransferase.,alias_of,laboratory_vitals__aspartate_aminotransferase,AST,46
C020,AST level is an alias for AST.,alias_of,laboratory_vitals__aspartate_aminotransferase,AST level,"2,82"
C021,"Cardiac function is a status/finding, not a specific lab measurement like AST.",related_but_distinct,laboratory_vitals__aspartate_aminotransferase,Baseline cardiac function status,30
C022,"Pulmonary function status is a clinical assessment, whereas DLCO is a specific measurement.",related_but_distinct,laboratory_vitals__dlco,Baseline pulmonary function status,30
C023,Biological sex is a synonym for sex in this context.,alias_of,demographics_social__biological_sex,Biological sex,"37,72,98"
C024,Redundant alias for biological sex.,alias_of,demographics_social__biological_sex,biological_sex,67
C025,BUN is a standard lab measurement.,base_variable,laboratory_vitals__blood_urea_nitrogen,Blood Urea Nitrogen,"58,82"
C026,BMI is a distinct measurement.,base_variable,demographics_social__body_mass_index,Body Mass Index,62
C027,Weight is a base measurement.,base_variable,demographics_social__body_weight,Body weight,62
C028,Describes the same clinical finding of bone pain/metastasis.,alias_of,symptoms_patient_reported__bone_pain,Bone pain or symptomatic bone metastasis,34
C029,Describes the same clinical finding of bone pain.,alias_of,symptoms_patient_reported__bone_pain,Bone pain presence,9
C030,Alias for brain lesion diameter.,alias_of,imaging_disease_sites__brain_lesion_diameter,Brain lesion diameter,14
C031,Alias for brain metastasis location.,alias_of,imaging_disease_sites__brain_metastasis_location,Brain lesion location,"14,100"
C032,Alias for brain metastasis presence.,alias_of,imaging_disease_sites__brain_metastasis_presence,Brain metastases presence,39
C033,Alias for brain metastasis location.,alias_of,imaging_disease_sites__brain_metastasis_location,Brain metastasis location,"4,53,55"
C034,Alias for brain metastasis presence.,alias_of,imaging_disease_sites__brain_metastasis_presence,Brain metastasis presence,"11,77"
